Kraj;Link
Albania;http://79.106.191.16/tracking.aspx
Algieria;http://www.poste.dz/
Andora;http://www.chronopost.fr/transport-express/livraison-colis/homepage
Anguilla;http://www.aps.ai/tracking.php
Cura_ao;http://www.npostna.com
Arabia Saudyjska;http://www.sp.com.sa/English/Saudipost/pages/default.aspx
Argentyna;http://www.correoargentino.com.ar/
Armenia;http://www.haypost.am/view-lang-eng-page-25.html
Aruba;http://www.postaruba.com/
Australia;https://auspost.com.au/mypost/track/#/search
Austria;https://www.post.at/sv/sendungssuche
Azerbejdýan;http://www.azems.az/
Azory;http://www.ctt.pt/fectt/wcmservlet/ctt/en/landingpage.html
Bahamy;
Bahrajn;https://services.bahrain.bh/wps/portal/!ut/p/a1/jZBRi4JAFIV_ja_ey4zW1NtokGYhscjqvCwKkxbmyDRpP38n6SGW3dr7dg7fB4cLAnIQXTkc69IcVVe29yxmXz4jYZQwskmDjCL3SLJge5_gmlqgsEC45pE33yKixwjGqyBazRc7xHj2Px__OI7v_A_ZwSeIHxj1fIsl-yBLI4opPoBXMyfgxY4NiLpV1fSTgncVZTUILQ9SS-1eta0bY_qlgw6O4-hKt1aDWzU29RcHe6XN72qjLgbyZwX6c5bf4pPfDlv-DRta-2g!/dl5/d5/L2dBISEvZ0FBIS9nQSEh/
Bangladesz;http://www.bangladeshpost.gov.bd/track.asp
Barbados;http://bps.gov.bb/default.php
Belgia;https://track.bpost.cloud/btr/web/#/home?lang=fr
Benin;http://emsbj.50webs.com/
Bermudy;http://mailtracking.gov.bm/
Bhutan;http://www.bhutanpost.com.bt/
Bia¸oruæ;http://www.belpost.by/eng/services/ems/
Boliwia;https://www.correosbolivia.com/
Botswana;http://www.botspost.co.bw/
Brazylia;http://www.correios.com.br/eng/default.cfm
Brunei-Darussalam;http://www.post.gov.bn/
Bu¸garia;http://www.bgpost.bg/?cid=3
BurkinaFaso;http://www.sonapost.bf/
Chile;http://www.correos.cl/SitePages/home.aspx
Chiny;http://www.ems.com.cn/english.html
Chorwacja;http://www.posta.hr/pages
Cypr;http://www.mcw.gov.cy/mcw/dps/dps.nsf/index_en/index_en?OpenDocument
Czad;
Czarnog—ra;http://www.postacg.me/main.php?jezik=e
Czechy;http://www.ceskaposta.cz/en/
Dania;http://www.postdanmark.dk/en/Pages/home.aspx
Dominikana;http://inposdom.gob.do/
Dýibuti;http://www.laposte.dj/
Egipt;http://www.egyptpost.org/
Ekwador;http://www.correosdelecuador.com.ec/pages/interna.php?txtCodiInfo=191
Estonia;http://www.post.ee/?lang=en
Etiopia;http://www.ethiopostal.com/
Fidýi;http://www.postfiji.com.fj/
Filipiny;http://www.phlpost.gov.ph/web/
Finlandia;http://www.posti.fi/english/index.html
Francja;http://www.chronopost.fr/transport-express/livraison-colis/homepage
Gabon;
Gambia;http://www.gampost.gm/
Ghana;http://www.ghanapostgh.com/pages/
Giblartar;http://www.gibraltar.gov.gi/postal-a-philatelic
Grecja;http://english.eltacourier.gr/en/index.asp
Grenada;http://www.grenadapostal.com/
Gruzja;http://www.georgianpost.ge/index.php?lang=eng&page=1&lng=eng
Guernesey(wyspa);http://www.guernseypost.com/
Gujana;
Gujana Francuska;http://www.chronopost.fr/transport-express/livraison-colis
Gwadelupa;
Gwatemala;http://elcorreo.com.gt
Gwinea (Republika);
Hiszpania;http://www.correos.es/dinamic/plantillas/Particulares.asp
Holandia;http://www.postnl.nl/voorthuis/
Honduras;http://www.honducor.gob.hn/
Hongkong;http://www.speedpost.hk/speedpost/index.jsf
Indie;http://www.indiapost.gov.in/index.aspx
Indonezja;http://ems.posindonesia.co.id
Irak;http://www.iraqipost.net/
Iran;http://www.post.ir/HomePage.aspx?TabID=1&Site=PostPortal&Lang=en-US
Irlandia;http://www.anpost.ie/AnPost
Irlandia P—¸nocna;http://www.parcelforce.com/
Islandia;http://www.postur.is/en/
Izrael;http://www.israelpost.co.il/hpcontent.nsf/EntryHomePage?ReadForm&L=EN
Jamajka;http://www.jamaicapost.gov.jm/
Japonia;http://www.post.japanpost.jp/int/index_en.html
Jersey;http://www.jerseypost.com/Pages/default.aspx
Jordania;http://www.jordanpost.com.jo/index.php?option=com_content&view=frontpage&Itemid=1&lang=en&view=frontpage&Itemid=1&lang=en
Kajmany;http://www.caymanpost.gov.ky/portal/page?_pageid=3561,1&_dad=portal&_schema=PORTAL
Kamerun;http://campostonline.com/
Kanada;http://www.canadapost.ca/cpo/mc/default.jsf?LOCALE=en
Katar;http://www.qatarposts.com/
Kazachstan;http://www.kazpost.kz/en/
Kenia;http://www.emskenya.co.ke/
Kirgistan;http://kyrgyzpost.kg/
Kolumbia;http://www.4-72.com.co/
Kongo (Republika Demokratyczna);
Korea Po¸udniowa (Republika);http://www.koreapost.go.kr/eng/main/index.jsp
Kostaryka;http://www.correos.go.cr/
Kuba;
Kuwejt;http://moc.kw/post1/index.htm
Lesotho;http://lesothopost.org.ls/
Lichtenstein;http://www.post.li/
Litwa;http://www.post.lt/en
Luksemburg;http://www.pt.lu/portal/op/Contact/lang/en/Postes
üotwa;http://www.expresspasts.lv/en/
Macedonia P—¸nocna;http://www.ems.com.mk/english/strana.htm
Madagaskar;http://www.paositra.mg
Madera;http://www.ctt.pt/fectt/wcmservlet/ctt/en/landingpage.html
Majotta (wyspa);http://www.chronopost.fr/transport-express/livraison-colis/homepage
Makau;http://ems.macaupost.gov.mo/Default.aspx
Malawi;http://www.malawiposts.com/
Malewdiwy;https://www.maldivespost.com/store/
Malezja;http://www.pos.com.my/pos/homepage.aspx
Mali;http://www.laposte.ml
Malta;http://www.maltapost.com
Man (wyspa);http://www.iompost.com/
Maroko;http://www.chronopost.ma/
Martynika;http://www.chronopost.fr/transport-express/livraison-colis/homepage
Mauretania;http://www.mauripost.mr
Mauritius;http://www.mauritiuspost.mu/
Meksyk;http://www.sepomex.gob.mx/English/Paginas/home.aspx
Mo¸dawia;http://www.posta.md/en.html
Monako;http://www.lapostemonaco.mc/
Mozambik;http://www.corre.co.mz/
Namibia;https://www.nampost.com.na/index.html
Niemcy;https://www.gdsk.de/eng/index.html
Niger;http://www.nigerposte.net/
Nigeria;http://www.emsng.com/
Nikaragua;http://www.correos.gob.ni
Norwegia;http://www.posten.no/en/
Nowa Kaledonia;http://opt.nc/
Nowa Zelandia;http://www.nzpost.co.nz/
Oman;http://www.omanpost.om/tabid/76/Default.aspx
Pakistan;http://www.pakpost.gov.pk
Panama;http://www.correospanama.gob.pa/
Papua Nowa Gwinea;http://www.postpng.com.pg
Paragwaj;http://www.correoparaguayo.gov.py/
Peru;http://www.serpost.com.pe/
Portugalia;http://www.ctt.pt/fectt/wcmservlet/ctt/en/landingpage.html
Republika Po¸udniowej Afryki;http://ems.sapo.co.za/EmsWebSite/index.htm
Reunion;http://www.chronopost.fr/transport-express/livraison-colis/homepage
Rosja;http://www.emspost.ru/en/
Rumunia;http://www.posta-romana.ro/en/posta-romana.html
Salomona Wyspy;
Salwador;http://www.correos.gob.sv/
San Marino;http://www.posteitaliane.post/english/index.shtml
Senegal;http://www.ems.sn/overview.htm
Serbia;http://www.posta.rs/default-eng.asp
Seszele;http://www.seychellespost.gov.sc/
Singapur;http://www.speedpost.com.sg/
S¸owacja;http://www.posta.sk/en
S¸owenia;http://www.posta.si/home
Sri Lanka;http://www.slpost.gov.lk
Stany Zjednoczone Ameryki (USA);http://www.usps.com/
Suazi(Swaziland);http://www.sptc.co.sz/swazipost/index.php
Sudan;http://www.sudapost.com/en/
Surinam;http://www.surpost.com/surpost2/index.php
Syria;http://www.syrianpost.gov.sy
Szwajcaria;http://www.post.ch/en/
Szwecja;http://www.posten.se/en/Pages/home.aspx
årodkowoafrykaÄska Republika;
åwieta üucja;http://www.stluciapo.org/ems.html
åwi«ty Piotr i Miquelon;http://www.lapostespm.net/
Tadýykistan;
Tajlandia;http://www.thailandpost.com/home.php
Tajwan;http://www.post.gov.tw/post/internet/u_english/index.jsp?ID=21
Tanzania;http://www.posta.co.tz/
Togo;http://www.laposte.tg/index_html.html
Trynidad i Tobago;http://www.ttpost.net/
Tunezja;http://www.rapidposte.poste.tn/an/index.html
Turcja;http://www.ptt.gov.tr/?wapp=homePage_en
Turkmenistan;http://www.ems.gov.tm/
Uganda;http://www.ugapost.co.ug
Ukraina;http://dpsz.ua/en/
Urugwaj;http://www.correo.com.uy/
Vanuatu;http://www.vanuatupost.vu/index.html
Watykan;http://www.posteitaliane.post/english/index.shtml
Wenezuela;http://www.ipostel.gob.ve/
W«gry;http://posta.hu/
Wielka Brytania;http://www.parcelforce.com/
Wietnam;http://ems.com.vn/default.aspx
W¸ochy;http://www.posteitaliane.post/english/index.shtml
Wybrzeýe Koæci S¸oniowej;http://www.laposte.ci/
Wyspy Kanaryjskie;http://www.correos.es/dinamic/plantillas/Particulares.asp
Zambia;http://www.zampost.com.zm/
Zimbabwe;http://www.zimpost.co.zw/
Zjednoczone Emiraty Arabskie;"http://www.emiratespost.com/content/english/index.jsp;jsessionid=896b0867e3c54dfab775dae6ed2db96a"